"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","casimito","3380408250","103065","540146","32798","3314076","2175983","true","true","Portuguese","casimito"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/762896bd-e9bd-4b88-8b13-70ca6804aae8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheGrefg","3349591560","124815","1066622","26836","10431052","1845606","true","false","Spanish","TheGrefg"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","3301886085","93435","172014","35338","2699108","1582424","true","false","Spanish","IlloJuan"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","3261229995","104880","282341","31094","9413133","3449181","true","false","Spanish","juansguarnizo"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","2900891955","153780","1185959","18863","3037031","1707390","true","false","Spanish","elxokas"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/d4885242-febf-4a11-a42a-a0ad52474ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","2900583510","63945","188812","45360","5990503","4006894","true","false","Spanish","ElSpreen"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NICKMERCS","2861923575","119655","108069","23918","6609884","375788","true","false","English","NICKMERCS"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stylishnoob4","2784266355","158670","76631","17547","922321","202395","true","false","Japanese","stylishnoob4"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","한동숙 (handongsuk)","2666250225","189600","58322","14062","534203","70872","true","false","Korean","한동숙 (handongsuk)"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","2574794370","131070","93631","19644","10416982","603294","true","false","English","shroud"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","풍월량 (hanryang1125)","2521756290","174810","38921","14425","599742","36457","true","false","Korean","풍월량 (hanryang1125)"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mizkif","2465030640","74940","122011","32893","2053888","397483","true","false","English","Mizkif"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Kamet0","2402062980","150450","419458","15965","1507881","489308","true","false","French","Kamet0"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","2307230940","122175","52716","18884","2907584","57222","true","false","English","LIRIK"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","2303905245","60690","125423","37961","6013527","3339418","true","false","Spanish","ElMariana"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","우왁굳 (woowakgood)","2303302560","155280","79470","14833","920014","171934","true","false","Korean","우왁굳 (woowakgood)"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/039b8034-2b66-4d30-97ec-15bf08f219d9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TSM_ImperialHal","2303287665","120240","108815","19155","1726277","520488","true","false","English","TSM_ImperialHal"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NoWay4u_Sir","2246075040","176910","34205","12696","575269","86238","true","false","German","NoWay4u_Sir"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trymacs","2238253215","112890","140876","19826","3211781","436873","true","false","German","Trymacs"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","加藤純一です (kato_junichi0817)","2173659675","91455","113309","23767","678031","191988","false","false","Japanese","加藤純一です (kato_junichi0817)"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/4f182bee-012a-4955-9bd2-55d903f84276-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RocketLeague","2100771330","47205","256159","44503","3775125","406341","true","false","English","RocketLeague"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/73a412eb-6d1c-4a1d-8711-aca8e1d144cb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Amouranth","2040514845","225960","67949","9030","6076495","1355513","true","false","English","Amouranth"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/e5768ef1-5b26-4d9b-b48f-9b96b5fb206a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LEC","2012751105","39930","339696","50406","1817561","261902","true","false","English","LEC"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/22291960-3b5d-4bfd-b929-188df129403e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","csgo_mc","1962930135","101340","355128","19369","1199483","185972","true","false","Russian","csgo_mc"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MontanaBlack88","1951940355","59925","129472","32573","4757315","498906","true","true","German","MontanaBlack88"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sodapoppin","1900339710","101865","77377","18655","8823387","5660986","true","true","English","sodapoppin"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVNDMARK","1863117630","162240","128877","11483","972712","287302","true","false","English","LVNDMARK"
